Title,Author,Language,Year,Sales_Million,Genre
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,Novella
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,Fantasy
And Then There Were None,Agatha Christie,English,1939,100,Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100,Fantasy
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80,Detective
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller
